                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.77526,                0.96535,                 1.2349,                0.63779,                 0.6913,                0.72048,                0.58199,                0.70059,                 1.0851,                 1.2516,              0.0084761,              0.0084761,              0.0084761
                     80,                0.77405,                0.98891,                 1.2442,                0.69864,                0.71968,                0.76779,                0.62583,                0.69889,                0.86621,                 1.2439,              0.0084385,              0.0084385,              0.0084385
                     81,                0.77911,                 0.9925,                 1.2376,                0.68479,                0.72146,                0.76692,                0.62819,                 0.6851,                0.88416,                 1.2346,              0.0084005,              0.0084005,              0.0084005
                     82,                0.76278,                0.96828,                 1.2238,                0.67435,                0.70363,                0.74603,                 0.6076,                0.67777,                0.98052,                 1.2327,              0.0083622,              0.0083622,              0.0083622
                     83,                0.76996,                0.98915,                 1.2435,                0.70942,                 0.7148,                0.77425,                0.63509,                0.66375,                0.86036,                 1.2224,              0.0083235,              0.0083235,              0.0083235
                     84,                0.77049,                0.96773,                 1.2376,                0.71104,                0.70888,                0.77234,                0.63292,                0.67431,                0.88365,                  1.222,              0.0082844,              0.0082844,              0.0082844
                     85,                0.76864,                0.96772,                 1.2374,                0.68704,                0.74712,                0.78148,                 0.6437,                0.66132,                0.84095,                 1.2198,               0.008245,               0.008245,               0.008245
                     86,                0.77609,                0.96689,                 1.2358,                0.69287,                0.75431,                0.78412,                0.64951,                0.65696,                0.85281,                 1.2092,              0.0082052,              0.0082052,              0.0082052
                     87,                0.76265,                0.95941,                 1.2334,                0.69871,                0.71359,                 0.7665,                0.63259,                 0.6697,                0.87813,                  1.224,              0.0081651,              0.0081651,              0.0081651
                     88,                0.77032,                 0.9835,                 1.2387,                0.71276,                0.70984,                0.77349,                0.63532,                0.66546,                0.88617,                 1.2241,              0.0081247,              0.0081247,              0.0081247
                     89,                0.75251,                0.95612,                 1.2209,                0.70761,                0.72059,                 0.7752,                 0.6375,                0.66191,                0.86858,                 1.2197,              0.0080839,              0.0080839,              0.0080839
                     90,                0.76306,                0.96587,                 1.2323,                0.69837,                 0.7485,                0.77721,                0.63178,                0.68596,                0.84286,                 1.2341,              0.0080428,              0.0080428,              0.0080428
                     91,                0.76954,                0.96147,                 1.2389,                  0.684,                0.73752,                0.77585,                 0.6447,                0.63793,                0.84298,                 1.1974,              0.0080013,              0.0080013,              0.0080013
                     92,                0.75883,                0.95155,                  1.228,                0.70573,                 0.7395,                0.78321,                0.65029,                0.64794,                0.83192,                 1.2065,              0.0079595,              0.0079595,              0.0079595
                     93,                0.74933,                0.96079,                 1.2174,                0.70876,                0.72572,                0.77702,                0.64041,                0.65586,                 0.8553,                 1.2094,              0.0079174,              0.0079174,              0.0079174
                     94,                0.75688,                0.94519,                 1.2237,                0.70286,                 0.7205,                0.78049,                0.64941,                0.63743,                0.82774,                 1.1966,               0.007875,               0.007875,               0.007875
                     95,                 0.7542,                0.94722,                 1.2236,                0.70366,                0.73297,                0.78298,                0.64448,                0.64442,                 0.8443,                 1.2066,              0.0078323,              0.0078323,              0.0078323
